area,type,name,osmid
Kuvempu Nagar 2nd Stage,bus_station,Kuvempunagar 2nd Stage,1529386309
Kuvempunagara,bus_station,Kuvempunagar 2nd Stage,1529386309
L.R. Nagar 1st Stage,bus_station,Viveknagar Bus Station,326201186
L.R. Nagar 1st Stage,bus_station,Neelasandra,401993921
L.R. Nagar 2nd Stage,bus_station,Viveknagar Bus Station,326201186
L.R. Nagar 2nd Stage,bus_station,Neelasandra,401993921
LIC Colony,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
LIG 3rd Stage,public_transport=station,Yelahanka New Town,1231838392
LR Bande,bus_stop,Shaji Stores,5329386293
Lal Bahadur Shastri Nagar,bus_station,Vignananagar Bus Station,415124236
Lottegollahalli,public_transport=station,Chikkamaranahalli,446805877
Lottegollahalli,bus_station,Chikkamaranahalli,323113360
M C Layout,public_transport=station,Vijayanagar Bus Stand,137930290
M S Ramaiah City,bus_station,Arekere MICO Layout Bus Station,2281199651
MCHS Colony,public_transport=station,Unnamed,1066726710
MEI Layout,public_transport=station,Mallasandra Bus Station,726174388
MES Colony,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
MSR Layout,bus_station,Munekolala bus stand,4417325592
MSR Nagar,public_transport=station,Chikkamaranahalli,446805877
MSR Nagar,bus_station,Chikkamaranahalli,323113360
Madhav Nagar,bus_station,SRS Bus Station,1809771508
Madhav Nagar,bus_station,VRL Bus Station,1809771510
Madhav Nagar,public_transport=station,Kempegowda Bus Station,239832511
Madhav Nagar,public_transport=station,KSRTC Bus Terminal 1,372031014
Mahadeshwara Nagara,public_transport=station,Kuvempunagara Bus Station,243896056
Mahalakshmi Layout,bus_station,Nandini Layout,1271969090
Maistripalaya,public_transport=station,Koramangala TTMC,122415848
Maithri Layout,public_transport=platform,Hope Farm (Towards Varthur),1410852309
Maithri Layout,public_transport=platform,Hope Farm (Towards Varthur),1410852310
Mallasandra,public_transport=station,Mallasandra Bus Station,726174388
Malleshwaram,public_transport=platform,Malleswaram 18th Cross,314075857
Malleswaram,public_transport=platform,Malleswaram 18th Cross,2394086882
Malleswaram,public_transport=platform,Malleswaram 18th Cross,314075857
Mamulpete,bus_station,Unnamed,11513366269
Mamulpete,public_transport=station,KR Market Bus Terminus,36885141
Mamulpete,public_transport=station,Kalasipalya Bus Stand,37339217
Mamulpete,public_transport=station,KSRTC Bus Terminal 3,322488099
Mamulpete,public_transport=station,KSRTC Bus Terminal 1,372031014
Mamulpete,public_transport=station,KSRTC Bus Terminal 2,1212700499
Mangamannapalya,bus_station,Mangammanapalya,1428116573
Mangamannapalya,public_transport=station,HSR Layout,3300149440
Marenahalli,public_transport=station,Vijayanagar Bus Stand,137930290
Marenahalli South,public_transport=station,Atal Bihari Vajpayee Bus Stand,162258166
Maruthi Mandira Ward,public_transport=station,Vijayanagar Bus Stand,137930290
Maruthi Nagar,bus_station,Vignananagar Bus Station,415124236
Maruthi Nagara,public_transport=station,Kuvempunagara Bus Station,243896056
Mathikere,public_transport=station,Chikkamaranahalli,446805877
Mathikere,bus_station,Choudeshwari Bus Stand,287724333
Mathikere,bus_station,Chikkamaranahalli,323113360
Mathru Layout,bus_station,Yelahanka Satellite Town,412909365
Mathru Layout,public_transport=station,Yelahanka New Town,1231838392
Mavalli,public_transport=station,Kalasipalya Bus Stand,37339217
Meenakshi Nagar,bus_station,Sharada Colony Bus Depot,141375009
Meghanapalya,bus_station,Kalyan Nagar BMTC Depot,687173199
Mico Arekere Layout 1st Stage,bus_station,Arekere MICO Layout Bus Station,2281199651
Milk Colony,public_transport=station,Yeshwanthapura TTMC,393781676
Minaz Nagara,bus_station,Kumaraswamy Layout,1270568466
Mohan Kumar Nagar,bus_station,KSRTC Pickup Point,9942510003
Mohan Kumar Nagar,bus_station,Choudeshwari Bus Stand,287724333
Mount Joy,bus_station,Srinagar Bus Station,954610622
Mount Joy,public_transport=station,N. R. Colony Bus Station,490824219
Munirangappa Layout,bus_stop,Shaji Stores,5329386293
Munnenkolalu,bus_station,Munekolala bus stand,4417325592
Munniswamy Garden,public_transport=station,Koramangala TTMC,122415848
Munniswamy Garden,bus_station,Viveknagar Bus Station,326201186
Mylasandra,public_transport=station,Kengeri TTMC,437563235
N.R Colony,public_transport=station,N. R. Colony Bus Station,490824219
NGEF Layout,bus_station,Unnamed,1419894208
NHCS Layout,public_transport=station,Vijayanagar Bus Stand,137930290
NR Colony,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
NTY Layout,bus_station,Mysore Road Bus Station,1789736226
NTY Layout,bus_station,KSRTC Mysore Road Satellite Bus Station,1238821118
Nagarabhavi,bus_station,Bande Maramma,1419884037
Nagarabhavi,bus_station,Unnamed,1419894208
Nagavarapalaya,bus_station,C V Raman Nagar Bus Stand,420436334
Nagavarapalya,bus_station,C V Raman Nagar Bus Stand,420436334
Nalwadi Krishnaraja Wadiyar Ward,bus_station,KSRTC Pickup Point,9942510003
Narasipura Layout,bus_station,Vidyaranyapura Bus Terminus,400455142
National Games Village,public_transport=station,Koramangala TTMC,122415848
Nehru Nagar,bus_station,SRS Bus Station,1809771508
Nehru Nagar,bus_station,VRL Bus Station,1809771510
Nehru Nagar,public_transport=station,Kempegowda Bus Station,239832511
Nellurupuram,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
New Thippasandra,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Nrupatunga Nagar,bus_station,Unnamed,1419894208
Officers Colony,bus_station,Neelasandra,401993921
Old Tharagupete,bus_station,Unnamed,11513366269
Old Tharagupete,public_transport=station,KR Market Bus Terminus,36885141
Old Tharagupete,public_transport=station,Kalasipalya Bus Stand,37339217
Old Tharagupete,public_transport=station,KSRTC Bus Terminal 3,322488099
Old Tharagupete,public_transport=station,KSRTC Bus Terminal 1,372031014
P R Layout,bus_station,Munekolala bus stand,4417325592
PF Layout,public_transport=station,Hampinagara Bus Station,54148031
PF Layout,public_transport=station,Vijayanagar Bus Stand,137930290
Padmanabhanagara,bus_station,Chikkalasandra Bus Stop,2123629154
Palm Grove,bus_station,Kalyan Nagar BMTC Depot,687173199
Panduranga Nagar,bus_station,Arekere MICO Layout Bus Station,2281199651
Pattanduru Agrahara,public_transport=station,Vydehi TTMC,1147692545
Peenya,bus_station,BMTC,1473053490
Prashanth Extension,public_transport=platform,Hope Farm (Towards Varthur),1410852309
Prashanth Extension,public_transport=platform,Hope Farm (Towards Varthur),1410852310
Pudupadacheri,public_transport=station,Shantinagara Bus Station,1455412266
Pushpagiri Nagar,bus_station,Shri Vidhyanagara BMTC Bus station,420181759
Putanna Garden,bus_station,C V Raman Nagar Bus Stand,420436334
Puttappa Layout,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Puttenahalli,bus_station,Bus Station Puttanahalli,4242256789
Puttenahalli,bus_station,Yelahanka Satellite Town,412909365
RMV 2nd Stage,public_transport=station,Chikkamaranahalli,446805877
RMV 2nd Stage,bus_station,Chikkamaranahalli,323113360
RT Nagar,bus_stop,Shaji Stores,5329386293
Rahat Bagh,bus_station,C V Raman Nagar Bus Stand,420436334
Raja Ram Mohan Roy Extension,public_transport=station,Shantinagara Bus Station,1455412266
Rajagopala Nagara,bus_station,Peenya 2nd Stage,1794171016
Rajendranagar,public_transport=station,Koramangala TTMC,122415848
Rajotsava Nagar,public_transport=station,ISRO Layout Bus Stand,259879354
Rajotsava Nagar,bus_station,Kumaraswamy Layout,1270568466
Ramesh Nagar,public_transport=station,Basavanagar Bus Stand,342673830
Ranasingpete,bus_station,Unnamed,11513366269
Ranasingpete,public_transport=station,KR Market Bus Terminus,36885141
Ranasingpete,public_transport=station,Kalasipalya Bus Stand,37339217
Ranasingpete,public_transport=station,KSRTC Bus Terminal 3,322488099
Ranasingpete,public_transport=station,KSRTC Bus Terminal 1,372031014
Ranasingpete,public_transport=station,KSRTC Bus Terminal 2,1212700499
Roopena Agrahara,public_transport=station,Kuvempunagara Bus Station,243896056
Roopena Agrahara,public_transport=station,Unnamed,1066726710
Rudrappa Garden,bus_station,Viveknagar Bus Station,326201186
Rudrappa Garden,bus_station,Neelasandra,401993921
S.M Krishna Ward,public_transport=platform,Hope Farm (Towards Varthur),1410852309
S.M Krishna Ward,public_transport=platform,Hope Farm (Towards Varthur),1410852310
ST Bed Layout,public_transport=station,Koramangala TTMC,122415848
Sadashiva Nagara,public_transport=platform,Malleswaram 18th Cross,2394086882
Saneguruvanahalli,bus_station,Sharada Colony Bus Depot,141375009
Saraswathi Nagara,public_transport=station,Vijayanagar Bus Stand,137930290
Sector A,public_transport=station,Yelahanka Old Town,421956349
Sector A,public_transport=platform,NES Office,440327192
Sector A,public_transport=station,Yelahanka New Town,1231838392
Sector B,public_transport=station,Yelahanka New Town,1231838392
Seven Hills Layout,bus_station,Chikkalasandra Bus Stop,2123629154
Shakambari Nagar,public_transport=station,Banashankari TTMC,162332398
Shakambari Nagar,public_transport=station,Unnamed,173154283
Shakthi Ganapathi Nagar,bus_station,Sharada Colony Bus Depot,141375009
Shamana Nagar,bus_station,Mysore Road Bus Station,1789736226
Shamana Nagar,public_transport=station,Old Gudahalli,4130929491
Shamana Nagar,public_transport=station,Hampinagara Bus Station,54148031
Shamana Nagar,bus_station,KSRTC Mysore Road Satellite Bus Station,1238821118
Shamana Nagar,public_transport=halt,Sri Siddhivinayak Temple,1283097924
Shankar Nagar,bus_station,Nandini Layout,1271969090
Shankarapuram,public_transport=station,Kalasipalya Bus Stand,37339217
Shanti Nagar,public_transport=station,Shantinagara Bus Station,1455412266
Sharada Colony,bus_station,Sharada Colony Bus Depot,141375009
Sharadhanagar,public_transport=station,Yelahanka New Town,1231838392
Shivajinagar,public_transport=station,Shivajinagar Bus Station,208748260
Shivalingaiah Colony,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Siddhartha Nagar,public_transport=station,Domlur Bus Station,31231545
Sidhartha Colony,public_transport=station,Kuvempunagara Bus Station,243896056
Sidhartha Colony,public_transport=station,Unnamed,1066726710
Somasundarapalya,public_transport=station,Hosapalya Bus Stop,12076711792
Sri Ram Nagar,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Srinivas Nagar,bus_station,Srinagar Bus Station,954610622
Srinivasapura,bus_station,Unnamed,1329553372
Subedarpalya,public_transport=station,Yeshwanthapura TTMC,393781676
Subramanyapura,public_transport=station,AGS Layout Bus Stand,2126404931
Sudgunte Palya,bus_station,C V Raman Nagar Bus Stand,420436334
Sudhama Nagar,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Sudhama Nagara,public_transport=station,Shantinagara Bus Station,1455412266
Sultanpete,bus_station,Unnamed,11513366269
Sultanpete,public_transport=station,KR Market Bus Terminus,36885141
Sultanpete,public_transport=station,Kalasipalya Bus Stand,37339217
Sultanpete,public_transport=station,Kempegowda Bus Station,239832511
Sultanpete,public_transport=station,KSRTC Bus Terminal 3,322488099
Sultanpete,public_transport=station,KSRTC Bus Terminal 1,372031014
Sultanpete,public_transport=station,KSRTC Bus Terminal 2,1212700499
Sulthanpalya,bus_stop,Shaji Stores,5329386293
Sundar Nagar,public_transport=station,Chikkamaranahalli,446805877
Sundar Nagar,bus_station,Choudeshwari Bus Stand,287724333
Sundar Nagar,bus_station,Chikkamaranahalli,323113360
Swamy Vivekananda Ward,bus_station,Shri Vidhyanagara BMTC Bus station,420181759
Syed Block,public_transport=station,Basavanagar Bus Stand,342673830
Syed Block,bus_station,Vignananagar Bus Station,415124236
Talacauvery Layout,public_transport=station,Basavanagar Bus Stand,342673830
Talacauvery Layout,bus_station,Vignananagar Bus Station,415124236
Tasker Town,public_transport=station,Shivajinagar Bus Station,208748260
Teacher's Colony,public_transport=station,HSR Layout,3300149440
Thimmah Reddy Colony,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Tilak Nagara,public_transport=station,Jayanagar TTMC,752917438
Ullal,public_transport=station,Unnamed,1428321423
Uttarahalli,bus_station,Uttarahalli Bus Station,471760581
VS Reddy Colony,public_transport=station,Kadugodi Bus Station,130127246
VS Reddy Colony,public_transport=station,Kadugodi Bus Station,130127247
VV Nagar,bus_stop,Shaji Stores,5329386293
Valmiki Nagar,public_transport=station,Old Gudahalli,4130929491
Vannarapete,bus_station,Viveknagar Bus Station,326201186
Vannarapete,bus_station,Neelasandra,401993921
Vannarpet,bus_station,Viveknagar Bus Station,326201186
Vasanthapura,public_transport=station,ISRO Layout Bus Stand,259879354
Veerabhadra Nagara,bus_station,Shri Vidhyanagara BMTC Bus station,420181759
Vidyaranyapura,bus_station,Vidyaranyapura Bus Terminus,400455142
Vignananagara,public_transport=station,Basavanagar Bus Stand,342673830
Vignananagara,bus_station,Vignananagar Bus Station,415124236
Vijaya Nagar,public_transport=station,Hampinagara Bus Station,54148031
Vijaya Nagar,public_transport=station,Vijayanagar Bus Stand,137930290
Vijaya Nagar,public_transport=halt,Sri Siddhivinayak Temple,1283097924
Vijayashree Layout,public_transport=station,Kengeri TTMC,437563235
Vijayashree Layout,public_transport=station,Kengeri Uppanagara Bus Stand,781766935
Vikram Nagar,public_transport=station,ISRO Layout Bus Stand,259879354
Vikram Nagar,bus_station,Kumaraswamy Layout,1270568466
Vinayaka Nagar A Block,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Viniyaka Layout,public_transport=station,Hesaghatta Bus Terminal,348114212
Viswamanava Kuvempu Ward,public_transport=station,Kuvempunagara Bus Station,243896056
Vittal Nagar,public_transport=station,ISRO Layout Bus Stand,259879354
Vittal Nagar,bus_station,Kumaraswamy Layout,1270568466
Viveknagar,bus_station,Viveknagar Bus Station,326201186
Vyalikaval,public_transport=platform,Malleswaram 18th Cross,2394086882
Vyalikaval,public_transport=platform,Malleswaram 18th Cross,314075857
Xavier Layout,bus_station,Neelasandra,401993921
Yediyuru,public_transport=station,N. R. Colony Bus Station,490824219
Yelahanka,public_transport=station,Yelahanka Old Town,421956349
Yelahanka,public_transport=platform,NES Office,440327192
Yelahanka Old Town,public_transport=station,Yelahanka Old Town,421956349
Yelahanka Satellite Town,public_transport=platform,NES Office,440327192
Yelahanka Satellite Town,public_transport=station,Yelahanka New Town,1231838392
Yellagondanpalya,bus_station,Neelasandra,401993921
Yellukunte,bus_station,Mangammanapalya,1428116573
Yellukunte,public_transport=station,HSR Layout,3300149440
Yellukunte,public_transport=station,Hosapalya Bus Stop,12076711792
Yeswanthpur,bus_station,KSRTC Pickup Point,9942510003
Yeswanthpur,public_transport=station,Yeshwanthapura TTMC,393781676
